"","mean_PM25","RR","Lower_CI","Upper_CI"
"211",64,1.02771696161712,1.01600384685673,1.03956511234003
"212",64,1.02771696161712,1.01600384685673,1.03956511234003
"213",51,1.00762994246002,1.00442390073476,1.01084621761714
"214",63,1.02615769043424,1.01510836146376,1.03732728998403
"215",46,1.00000912852245,1.00000530122788,1.00001295583167
"216",50,1.00610114767414,1.00353862167382,1.0086702170594
"217",58,1.01839674914035,1.01064275953801,1.02621022994685
"218",55,1.01376838733237,1.00797283342591,1.01959726400704
"219",50,1.00610114767414,1.00353862167382,1.0086702170594
"220",49,1.00457467240399,1.00265412288007,1.00649890067454
"221",54,1.01223027918439,1.00708442640694,1.0174024254881
"222",48,1.00305051313035,1.0017704036658,1.00433225837914
"223",48,1.00305051313035,1.0017704036658,1.00433225837914
"224",47,1.00152866633935,1.0008874633439,1.00217028011153
"225",58,1.01839674914035,1.01064275953801,1.02621022994685
"226",63,1.02615769043424,1.01510836146376,1.03732728998403
"227",54,1.01223027918439,1.00708442640694,1.0174024254881
"228",52,1.00916106028618,1.00530996075121,1.01302691245289
"229",57,1.01685161875623,1.00975199929978,1.02400115601077
"230",58,1.01839674914035,1.01064275953801,1.02621022994685
"231",59,1.01994422738708,1.01153430556702,1.02842406951002
"232",69,1.03554892986778,1.02049313715468,1.05082684743991
"233",84,1.0594047700434,1.03408037665254,1.08534935207249
"234",59,1.01994422738708,1.01153430556702,1.02842406951002
"235",48,1.00305051313035,1.0017704036658,1.00433225837914
"236",53,1.01069450468255,1.00619680241209,1.01521231169362
"237",59,1.01994422738708,1.01153430556702,1.02842406951002
"238",84,1.0594047700434,1.03408037665254,1.08534935207249
"239",62,1.02460078500645,1.01421366533364,1.03509428488175
"240",46,1.00000912852245,1.00000530122788,1.00001295583167
"241",49,1.00457467240399,1.00265412288007,1.00649890067454
"242",62,1.02460078500645,1.01421366533364,1.03509428488175
"243",64,1.02771696161712,1.01600384685673,1.03956511234003
"244",66,1.03084261563285,1.01779718821684,1.04405525040455
"245",58,1.01839674914035,1.01064275953801,1.02621022994685
"246",57,1.01685161875623,1.00975199929978,1.02400115601077
"247",71,1.03869840369377,1.02229440253003,1.05536562771533
"248",68,1.03397777587782,1.01959369499137,1.04856478248258
"249",62,1.02460078500645,1.01421366533364,1.03509428488175
"250",53,1.01069450468255,1.00619680241209,1.01521231169362
"251",62,1.02460078500645,1.01421366533364,1.03509428488175
"252",61,1.02304624174436,1.01331975777073,1.03286608666331
"253",56,1.01530883267251,1.00886202415973,1.02179683744305
"254",55,1.01376838733237,1.00797283342591,1.01959726400704
"255",59,1.01994422738708,1.01153430556702,1.02842406951002
"256",63,1.02615769043424,1.01510836146376,1.03732728998403
"257",87,1.06424148485729,1.03681945662383,1.09238877690368
"258",101,1.08710642838732,1.0496980720769,1.12584791577521
"259",87,1.06424148485729,1.03681945662383,1.09238877690368
"260",57,1.01685161875623,1.00975199929978,1.02400115601077
"261",48,1.00305051313035,1.0017704036658,1.00433225837914
"262",59,1.01994422738708,1.01153430556702,1.02842406951002
"263",58,1.01839674914035,1.01064275953801,1.02621022994685
"264",61,1.02304624174436,1.01331975777073,1.03286608666331
"265",49,1.00457467240399,1.00265412288007,1.00649890067454
"266",84,1.0594047700434,1.03408037665254,1.08534935207249
"267",60,1.02149405706407,1.01242663807999,1.03064268498116
"268",57,1.01685161875623,1.00975199929978,1.02400115601077
"269",54,1.01223027918439,1.00708442640694,1.0174024254881
"270",65,1.02927860214989,1.0169001222088,1.04180776234198
"271",54,1.01223027918439,1.00708442640694,1.0174024254881
"272",47,1.00152866633935,1.0008874633439,1.00217028011153
"273",48,1.00305051313035,1.0017704036658,1.00433225837914
"274",47,1.00152866633935,1.0008874633439,1.00217028011153
"275",47,1.00152866633935,1.0008874633439,1.00217028011153
"276",58,1.01839674914035,1.01064275953801,1.02621022994685
"277",94,1.07561320164119,1.04323889148644,1.1089921675527
"278",124,1.1257416222112,1.07120399994246,1.1830558885579
"279",75,1.04502611649923,1.02590647709582,1.06450208527483
"280",57,1.01685161875623,1.00975199929978,1.02400115601077
"281",80,1.05298999339454,1.03043952291891,1.07603396563069
"282",55,1.01376838733237,1.00797283342591,1.01959726400704
"283",54,1.01223027918439,1.00708442640694,1.0174024254881
"284",53,1.01069450468255,1.00619680241209,1.01521231169362
"285",61,1.02304624174436,1.01331975777073,1.03286608666331
"286",60,1.02149405706407,1.01242663807999,1.03064268498116
"287",60,1.02149405706407,1.01242663807999,1.03064268498116
"288",76,1.04661405870733,1.02681148812683,1.06679853171698
